,QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote,year
0,USGALLUP.47-392.Q09B,"PEACE TREATY WITH GERMANY, CONTROL OF GERMANY",41,WILL YOU TELL ME WHAT ARE THE CHIEF SUBJECTS TO BE DISCUSSED AT THIS MEETING (OF THE FOREIGN MINISTERS IN MOSCOW)?,,ASKED OF THOSE WHO HEARD/READ OF THE MEETING (72%) ADDS TO MORE THAN 100% DUE TO MULTIPLE RESPONSES,05/31/1947,Gallup Organization,,Gallup Poll,03/14/1947,03/19/1947,Y,National Adult,2884,Face-to-face interview,Sample size is approximate.,1947
12,USHICK.87NWPC.R010D,Man,44,"(Let's assume again that all you know about two candidates for office is that one is a man and one is a woman. For each of the issues, tell me whether you think the man or the woman probably would do a better job dealing with it in office.)... Arms control",,,05/1/1987,Hickman-Maslin Research,National Women's Political Caucus,New Political Woman,05/26/1987,06/1/1987,Y,National--Registered Voters (See note),1500,Telephone Interview,Sample consists of 1000 women and 500 men. Responses of the genders are weighted to reflect their actual proportion in the population.,1987
22,USABCWP.256.R12,"Yes, he does",51,"Thinking about Mikhail Gorbachev, the leader of the Soviet Union: Do you think Gorbachev seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,,1987
28,USABC.877222.Q19B,Favorable,77,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. I'm going to mention some of them and for each please tell me whether you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal. How about Reagan's proposal for working toward an arms control agreement with the Soviets. Do you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,,1987
34,USGBUSA.873039.Q33,Tried too hard,15,Do you think the Reagan administration has tried too hard or not hard enough to reach an arms control agreement with the Soviets?,,,09/1/1987,Gordon S. Black Corporation,USA Today,Gordon Black/USA Today Poll,09/1/1987,09/30/1987,N,National adults,1005,Telephone Interview,,1987
38,USLAT.128.R43,Haven't heard enough,32,"Would you consider it was appropriate, or not, for leaders of your religion to take a public position involving nuclear weapons and arms control--or haven't you heard enough about that yet to say?",,,08/1/1987,Los Angeles Times,,Los Angeles Times Poll,08/14/1987,08/19/1987,Y,National adult including an oversample of Catholics,2040,Telephone Interview,,1987
43,USCBSNYT.291487.R10,Live up to agreement,65,"If the United States and the Soviet Union reached an agreement on arms control this year, do you think the United States would live up to the agreement or would it cheat?",,,09/14/1987,CBS News; New York Times,,CBS News/New York Times Poll,09/9/1987,09/10/1987,Y,National Adult,839,Telephone Interview,,1987
46,USPENN.112487.R13,Abide,40,Should the United States continue to abide by arms control treaties that the Soviets are violating?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,,1987
52,USORC.87DEC.R5,Improved,56,"(From what you have heard or read about this new policy of Glasnost, or openness) Do you think the chances of negotiating a satisfactory arms control agreement with Russia have now improved, not changed, or gotten worse?",,Heard/read of Glasnost (60%),12/1/1987,Opinion Research Corporation,,ORC Issue Watch,11/13/1987,11/15/1987,Y,National adult,1006,Telephone Interview,,1987
56,USABCWP.274.R24,"Yes, will lead to important",,Do you think the (Reagan-Gorbachev) summit meeting will lead to important accomplishments in arms control or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,,1987
60,USCBSNYT.87NOV2.R30,"Yes, will",34,"Do you think the upcoming (Reagan-Gorbachev) summit meeting will lead to real arms control agreements, or not?",,,11/1/1987,CBS News; New York Times,,CBS News/New York Times Poll,11/20/1987,11/24/1987,Y,National Adult,1553,Telephone Interview,,1987
85,USABC.276.R02,Approve,81,"As you may know, President Reagan met with Soviet leader Mikhail Gorbachev in Washington this week for summit negotiations on arms control and other issues. Do you approve or disapprove of the way Reagan handled the summit meeting?",,,12/11/1987,Chilton Research Services,ABC News,ABC News Poll,12/10/1987,12/10/1987,Y,National Adult,505,Telephone Interview,,1987
88,USGALNEW.122187.R09,Should,76,Should Reagan and Gorbachev sign a strategic-arms reduction treaty next year in Moscow?,,,12/21/1987,Gallup Organization,Newsweek Magazine,Gallup/Newsweek Poll,12/11/1987,12/11/1987,Y,National adult,507,Telephone Interview,,1987
91,USROPER.844056.R03,A. The Congressional hearing on the,,"Many significant events occurred during the course of this past year. I would like to take a moment to read you a list of those events. When I am through reading the list, I would like you to tell me which one of those events you think was the most significant event of 1987.",,,12/1/1987,Roper Organization,U.S. News & World Report,Roper/U.S. News & World Report Poll,12/14/1987,12/16/1987,Y,National adult,1003,Telephone Interview,,1987
100,USMOR.188ATS.R14,Can be trusted,35,"In reaching agreements on nuclear arms control, do you think the Soviet Union can be trusted to keep their part of the bargain or not?",,,01/1/1988,Market Opinion Research,Americans Talk Security Project,National Security Issues,01/7/1988,01/14/1988,Y,Registered Voters,1000,Telephone Interview,,1988
122,USABCWP.280.R66,Democratic President,38,"Regardless of who controls Congress, do you think a Democratic or a Republican President would do better--negotiating further arms control agreements?",,,01/1/1988,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,01/17/1988,01/23/1988,Y,National Adult,1505,Telephone Interview,,1988
126,USDYG.288ATS.R10XA3,Should require,79,"(The next step of the (INF, or Intermediate Nuclear Forces) treaty is for the U.S. Senate to ratify it. As a part of their approval of the treaty the U.S. Senate can require that certain conditions be met before the treaty can take effect. For each of the following please tell me if you think the U.S. Senate should or should not require that condition be met before the treaty can take effect.)... That President Reagan certify that the Soviet Union is adhering to all past arms control agreements before the treaty can take effect",,Asked of 'I' half sample,02/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Defense Spending,02/17/1988,02/24/1988,Y,Registered Voters,1004,Telephone Interview,,1988
143,USMARTIL.388ATS.R33,A. President Reagan's military buildup forced them to the bargaining table,28,Both the U.S. and the Soviets have recently shown new interest in negotiating nuclear arms reduction treaties. Which of the following do you think is the major reason that the Soviets have been pursuing these negotiations? (Rotate),,,03/1/1988,"Marttila & Kiley, Inc.",Americans Talk Security Project,Americans Talk Security,03/22/1988,03/28/1988,Y,Registered Voters,1004,Telephone Interview,,1988
155,USAPMGEN.20-3.RC13,Yes,24,Do you think the Soviets can be trusted to live up to their arms control agreements?,,,05/1/1988,Media General; Associated Press,,Associated Press/Media General Poll,04/29/1988,05/8/1988,Y,National adult,1204,"Telephone Interview, Landline",,1988
158,USCBSNYT.88MAY.R04,Drugs,16,What do you think is the most important problem facing this country today?,,,05/1/1988,CBS News; New York Times,,CBS News/New York Times Poll,05/9/1988,05/9/1988,Y,,1382,"Telephone Interview, Landline",,1988
188,USGALLUP.588TM.R601F,Made progress,48,"(For each of these areas of national interest, tell me if you think the Reagan Administration has made progress in solving problems, tried but failed to solve problems, did not deal with problems or created problems for the next president.)... Arms control",,,05/1/1988,Gallup Organization,Times Mirror Center for the People & the Press,"People, The Press & Politics Poll",05/13/1988,05/22/1988,Y,National adult,3021,Telephone Interview,,1988
193,USGBUSA.883082.R04,Human rights,16,"I will read several issues likely to be discussed at the Moscow summit. Which do you think is most important to resolve...human rights, arms control, cultural/scientific exchanges, Middle East Peace?",,,05/1/1988,Gordon S. Black Corporation,USA Today,Gordon Black/USA Today Poll,05/14/1988,05/16/1988,Y,National adult,800,"Telephone Interview, Landline",,1988
198,USMARTIL.588ATS.R06D,Excellent,18,"(Like all presidents, Ronald Reagan does a better job in some areas than others. Now I'd like to get your opinion on how well Ronald Reagan is performing in some specific areas of foreign policy. After each item I read, please tell me whether you feel Reagan is doing an excellent, good, not so good, or poor job in that particular area.)... Working for arms control agreements with the Soviets",,,05/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #6,05/24/1988,05/27/1988,Y,Registered voters,1009,Telephone Interview,,1988
203,USNBCWSJ.070188.R24,Not do enough,36,"In electing the next president, which would tend to worry you more--someone who might not do enough to get a nuclear arms control agreement with the Russians, or someone who might be too eager for such an agreement?",,Registered voters (79%),07/1/1988,NBC News; Wall Street Journal,,NBC News/Wall Street Journal Poll,06/9/1988,06/12/1988,Y,National adult,2014,Telephone Interview,,1988
206,USCBSNYT.071188.R13,Drugs,15,What do you think is the most important problem facing this country today?,,,07/11/1988,CBS News; New York Times,,CBS News/New York Times Poll,07/5/1988,07/8/1988,Y,National Adult,1177,Telephone Interview,,1988
234,USYANKCS.090688.R09,Budget deficit,14,"In your view, what is the single most important issue in the election that the (1988) Presidential candidates should address?",Adds to more than 100% due to multiple responses,Likely voters (75%),09/6/1988,Yankelovich Clancy Shulman,Time Magazine,Time/Yankelovich Clancy Shulman Poll,08/29/1988,08/30/1988,Y,Registered Voters,1474,Telephone Interview,,1988
257,USDYG.ATS10.R08D,George Bush,57,"(I'm going to read a list of important issues facing the country that a President must deal with. For each one I mention, please tell me whether you feel (ROTATE: George Bush or Michael Dukakis) would do a better job of handling that particular issue.) ...Negotiating arms control agreements?",,Asked of half sample,10/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #10,09/30/1988,10/3/1988,Y,Registered Voters,1008,Telephone Interview,,1988
262,USCBSNYT.101288.R23,Present approach about right,34,"When it comes to arms control negotiations with the Soviet Union, is the United States' present approach about right, or should we try even harder to reach new agreements, or have we gone too far already?",,Probable electorate,10/12/1988,CBS News; New York Times,,CBS News/New York Times Poll,10/8/1988,10/10/1988,Y,National Adult,1518,Telephone Interview,Responses were weighted for their participation in previous elections and intention to vote in November to create a probable electorate.,1988
292,USDYG.ATS11.R09CD,Bush,64,"(Thinking about the same list of issues, please tell me whether you feel (ROTATE: George Bush or Michael Dukakis) would do a better job of handling that particular issue.)...negotiating arms control agreements.",,Asked of half sample,11/1/1988,"The Daniel Yankelovich Group, Inc.",Americans Talk Security Project,Americans Talk Security #11,11/6/1988,11/7/1988,Y,Registered Voters,1006,Telephone Interview,,1988
306,USNBCWSJ.88EXIT.R05,Handling the nation's drug problems,21,What do you think the next president's top priority should be?,,,11/8/1988,NBC News; Wall Street Journal,,NBC News/WSJ National Election Exit Poll 1988,11/8/1988,11/8/1988,Y,Exiting Voters,11703,Mail Questionnaire/Self-enumerated questionnaire,,1988
312,USCBSNYT.112088.R25,Budget/Deficit,36,What is the single most important thing you would like to see George Bush accomplish in the next four years as President? And what's the next most important thing?,Adds to more than 100% due to multiple responses,,11/20/1988,CBS News; New York Times,,CBS News/New York Times Poll,11/10/1988,11/15/1988,Y,Recall adults,1627,"Telephone Interview, Landline",Reinterviews of 1627 adults from a sample of 1977 originally interviewed 11/2-4/88.,1988
332,USYANKCS.011789.R28,Reducing the budget deficit,33,Which of these do you think should be Bush's first priority as President?,,,01/17/1989,Yankelovich Clancy Shulman,Time Magazine; Cable News Network (CNN),Time/CNN/Yankelovich Clancy Shulman Poll,01/9/1989,01/10/1989,Y,National adult,1012,Telephone Interview,,1989
339,USCBSNYT.011989.R06,Deficit,17,What do you think is the most important problem facing this country today?,* = less than .5 percent,,01/19/1989,CBS News; New York Times,,CBS News/New York Times Poll,01/12/1989,01/15/1989,Y,National adult,1533,Telephone Interview,,1989
388,USNBCWSJ.011989.R13,Likely,46,"What about a major arms control agreement with the Soviet Union? Do you think this is likely to happen in the next year, or not?",,,01/19/1989,NBC News; Wall Street Journal,,NBC News/Wall Street Journal Poll,01/14/1989,01/17/1989,Y,National adult,2025,Telephone Interview,,1989
391,USCBSNYT.041989.R20,Drugs,18,"Of all the problems facing the country, which one would you like to see (President) George Bush make an all-out effort to solve first?",,,04/19/1989,CBS News; New York Times,,CBS News/New York Times Poll,04/13/1989,04/16/1989,Y,National Adult,1412,Telephone Interview,,1989
414,USLAT.181.R61,"Yes, will",63,"(Here are some things George Bush says he wants to do during the next four years. Tell me whether you think he will, or will not be able to do them.)... During the next four years, do you think George Bush will be able to sign an arms control treaty with the Russians, or not?",,,04/1/1989,Los Angeles Times,,Los Angeles Times Poll,04/22/1989,04/25/1989,Y,National adult,2160,Telephone Interview,,1989
429,USABCWP.89OCT.R07D,"Yes, doing it all it can",65,(I'm going to mention some issues facing this country today. After each please tell me if you think the Bush administration is doing all it can or not doing all it can on the issue?)...Arms reduction proposals from the Soviet Union.,,,10/1/1989,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,09/28/1989,10/3/1989,Y,"1,535 adults and an oversample of 231 Blacks nationwide",1766,Telephone Interview,Sample includes 1535 national adults and an oversample of 231 blacks nationwide.,1989
432,USWASHP.90947E.R05,Wants to make progress,67,"Do you think (Mikhail) Gorbachev seriously wants to make progress in arms control, or not?",,,11/1/1989,Washington Post,,Washington Post Poll,11/17/1989,11/21/1989,Y,National adult,1007,Telephone Interview,Interviewing was conducted by ICR Survey Research Group.,1989
435,USAPMGEN.29-2.RB12,Yes,30,Do you think the Soviets can be trusted to live up to their arms control agreements?,,,11/1/1989,Media General; Associated Press,,Associated Press/Media General Poll,11/17/1989,11/25/1989,Y,National adult,1117,"Telephone Interview, Landline",,1989
438,USCBSNYT.120289.R21,Live up to agreement,66,"If the United States and the Soviet Union reached an agreement on arms control this year, do you think the United States would live up to the agreement or would it cheat?",,,12/2/1989,CBS News; New York Times,,CBS News/New York Times Poll,11/26/1989,11/28/1989,Y,National Adult,1297,Telephone Interview,,1989
444,USMS.ATS13B.R064,Can be trusted,46,"In reaching agreements on nuclear arms control, do you think the Soviet Union can be trusted to keep their part of the bargain or not?",,,04/16/1990,"Market Strategies, Inc.",Americans Talk Security Project,U.S. Looks At The Revolutions Of 1989,02/19/1990,03/2/1990,Y,National adult,1000,"Telephone Interview, Landline",,1990
452,USANLGRP.90DEMA.R18A,Foreign relations,25,"Thinking about specific issues and problems, what issue do you think George Bush is handling best? (Open-ended)",* = less than .5 percent,Asked of 'A' half sample,03/1/1990,Greenberg-Lake: The Analysis Group; Garin-Hart Strategic Research Group,Democrats for the 90s,Democrats: 1990-92,02/26/1990,03/1/1990,Y,National--Registered Voters,1494,Telephone Interview,Conducted by Greenberg-Lake (the Analysis Group) and the Garin-Hart Strategic Research Group.,1990
526,USABCWP.381.R7,More likely,18,"Has the way (Mikhail) Gorbachev handled the situation in Lithuania made you more or less likely to support arms control agreements between the United States and the Soviet Union, or hasn't it made much difference?",,,04/1/1990,ABC News; Washington Post,,ABC News/Washington Post Poll,03/28/1990,04/1/1990,Y,National adult,1000,Telephone Interview,,1990
530,USAPMGEN.30-1.RB14,Yes,34,Do you think the Soviets can be trusted to live up to their arms control agreements?,,,05/1/1990,Associated Press; Media General,,Associated Press/Media General Poll,05/11/1990,05/20/1990,Y,National adult,1143,Telephone Interview,,1990
533,USABCWP.386B.R50,"Yes, will lead to important accomplishments",62,Do you think the summit meeting (between President Bush and Soviet leader Gorbachev) will lead to important accomplishments in arms control or not?,,,05/1/1990,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/17/1990,05/21/1990,Y,National Adult,1526,Telephone Interview,,1990
536,USCBSNYT.052990.R14,United States,42,Which country has more to gain by reaching an arms control agreement this year--the United States or the Soviet Union?,,,05/29/1990,CBS News; New York Times,,CBS News/New York Times Poll,05/22/1990,05/24/1990,Y,National Adult,1140,Telephone Interview,,1990
543,USCBSNYT.062492.R17,Gulf War,28,"Regardless of your overall opinion of George Bush, what do you think is the single most important thing George Bush has accomplished as President?",,,06/24/1992,CBS News; New York Times,,CBS News/New York Times Poll,06/17/1992,06/20/1992,Y,National adult,1315,Telephone Interview,,1992
560,USWASHP.90813F.R07,More likely to support,18,"Has the way (Soviet President) Gorbachev handled the situation in Lithuania made you more likely or less likely to support further arms control agreements between the United States and the Soviet Union, or hasn't it made much difference?",,,04/1/1990,Washington Post,,Washington Post Poll,03/28/1990,04/2/1990,Y,National adult,1000,Telephone Interview,Interviewing was conducted by ICR Survey Research Group.,1990
565,USGALLUP.90CFRP.R15C,Excellent,7,"How do you rate the Bush Administration's handling of the following problems? Would you say the Administration's handling of... arms control... has been excellent, good, fair, or poor?",,,12/1/1990,Gallup Organization,The Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1990,10/23/1990,11/15/1990,Y,National adult,1662,Face-to-face interview,The study also has a separate sample of 377 'opinion leaders' conducted 10/19-11/16/90 in which were asked many of the same questions. These results are available from the Roper Center.,1990
573,USGALLUP.0191W3.R26,Restrict trade and cut off all economic assistance to the Soviets,10,"As you may already know, there has been a Soviet military crackdown on independence movements in the Soviet Baltic states of Latvia and Lithuania. Which of the following responses to the Soviet crackdown, if any, would you favor?",,,01/1/1991,Gallup Organization,,Gallup Poll,01/17/1991,01/20/1991,Y,National adult,1019,Telephone Interview,,1991
579,USGALLUP.0191W4.R25B,Favor,49,"(As you may already know, there has been a Soviet military crackdown on independence movements in the Soviet Baltic states of Latvia and Lithuania. For each of the following possible responses to the Soviet crackdown, please tell me if you favor or oppose it.)... (Rotate) Restrict arms control agreements and negotiations with the Soviets",,,01/1/1991,Gallup Organization,,Gallup Poll,01/23/1991,01/26/1991,Y,National adult,1011,Telephone Interview,,1991
582,USUMARY.071696.R14,Agree strongly,42,"Please tell me if you agree or disagree with the following statement: Now that the cold war is over the U.S. (United States) should put less emphasis on building new weapons and more emphasis on things like arms control, global environmental concerns, trade and the early prevention of conflicts. Therefore some money should be shifted from the Defense Department to other agencies such as the State Department. Do you feel that way strongly or somewhat?",,,07/16/1996,"Program on International Policy Attitudes, University of Maryland",,America's Role In The World Poll,06/21/1996,06/27/1996,Y,National adult,1227,Telephone Interview,,1996
587,USYANKP.021097.R15D,Top priority,25,"(Please tell me whether each of the following should be a top foreign policy priority for the United States, a high priority, a low priority, or not a priority at all.)... Promoting chemical and biological weapons arms control",,,02/10/1997,"Yankelovich Partners, Inc.",Time Magazine; Cable News Network (CNN),Time/CNN/Yankelovich Partners Poll,02/5/1997,02/6/1997,Y,National Adult including an oversample of 215 Blacks,1227,Telephone Interview,The survey included an oversample of 215 African-Americans. Results are weighted to be representative of a national adult population.,1997
592,USGALLUP.98CCFRP.R02,Crime (Violence/Hate crimes/Killings in school),26,What do you feel are the two or three biggest problems facing the country today?,Adds to more than 100% due to multiple responses. * = less than .5 percent,,12/1/1998,Gallup Organization,The Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/1998,11/10/1998,Y,National Adult,1507,Face-to-face interview,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center.,1998
648,USHARRIS.02CCFRA.R0315,Terrorism,33,What do you feel are the two or three biggest foreign policy problems facing the United States today?,,"Asked of partial sample B, one quarter of telephone interviews plus all the in-person interviews (1/3 of sample). Adds to more than 100% due to multiple responses. * = less than .5 percent",10/2/2002,Harris Interactive,The Chicago Council on Foreign Relations,Worldviews 2002 Survey,06/1/2002,06/30/2002,Y,National adult including an oversample of 397 opinion leaders,3262,Telephone Interview,"The US Survey consists of 2862 telephone interviews and 400 in-person face to face interviews for a total of 3262 adults. Parallel surveys, were conducted in Great Britain, France, Germany, the Netherlands, Italy and Poland by M.O.R.I. June 5-July 6, 2002 with 1000 respondents in each European country.",2002
709,USABC.031003.R03,Threat to the U.S. (United States),22,What's the main reason you'd support going to war with Iraq/favor military action against Iraq?,,"Those who favor going to war with Iraq/military action against Iraq to force Saddam Hussein from power. Form A asked about going to war, Form B asked about military action against Iraq in the prior question. Adds to more than 100% due to multiple responses",03/10/2003,ABC News,,ABC News Poll,03/5/2003,03/9/2003,Y,National adult,1032,Telephone Interview,Interviews were conducted by TNS Intersearch,2003
720,USUMARY.012408.R18,Should negotiate,79,"There is a debate about whether the United States should negotiate an international treaty that would prohibit countries from testing or deploying weapons dedicated to attacking satellites.  Opponents say such a treaty is not a good idea, arms control does not work and it is inevitable that countries will build the capacity to destroy satellites.  Advocates say such a treaty is a good idea, many arms control agreements have proven to be effective and all the major countries have an interest in not having their satellites threatened.  Do you think the United States should or should not negotiate an international treaty that would prohibit countries from testing or deploying weapons dedicated to attacking satellites?",,United States respondents (n=1247).,01/24/2008,Program on International Policy Attitudes,,PIPA/Knowledge Networks Poll,09/14/2007,09/24/2007,Y,Adult residents of United States and Russia,2848,Web-based survey,"The poll was fielded by Knowledge Networks using its national panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed.  A parallel survey was conducted in Russia by Levada Center.",2007
726,USNORC.63CD.R13F,10--Very likely,6,"(Now here are some cards. On these cards are printed various possible future situations which may exist in our civil defense. On this folder are pockets which show how likely something is. As before, the zero pocket on the bottom of the folder stands for something that is impossible or nearly impossible. The top pocket--10--stands for something you consider certain or just about certain to happen. Five means that something is as likely to happen as not--the chances are about fifty-fifty. Would you please put these cards into the pockets according to how likely it is that each situation will come about in five years or so--about 1968? You may use as many pockets as you want, and any number of cards may go into any pocket.)... There will be no shelters against nuclear weapons because arms control and disarmament steps will make nuclear war impossible.",,,12/1/1963,National Opinion Research Center (NORC),,Civil Defense,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,,1963
737,USGALLUP.59IISR12.Q10A,Russia:  general mention (name only)/bad relations with/trouble with/etc.,14,"Now, I would like to ask you about several different kinds of problems. First, what do you think is the most important international or world problem at the present time?",Adds to more than 100% due to multiple responses. * = less than .5 percent,,08/1/1959,Gallup Organization,Institute for International Social Research,Hopes And Fears: Happiness Survey,08/1/1959,08/30/1959,Y,National adult,1549,Face-to-face interview,,1959
754,USGALLUP.1124.Q06B,"Reduce nuclear proliferation:  Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",6,"What do you think would be the advantages of such a treaty (Strategic Arms Limitation Treaty, or SALT II)?",Adds to more than 100% due to multiple responses. * = less than .5 percent.,,03/19/1979,Gallup Organization,,Gallup Poll (AIPO),03/16/1979,03/19/1979,Y,National adult,1563,Face-to-face interview,,1979
768,USABCHS.042779.R11D,Will,47,Do you feel the proposed new SALT (Strategic Arms Limitation Treaty) arms control agreement with Russia will...Slow down the nuclear arms build-up by both the U.S. and the Soviet Union through 1985...or not?,,,04/27/1979,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,04/6/1979,04/9/1979,Y,National adult,1200,Telephone Interview,,1979
771,USABCHS.102579.R2F,Agree,58,"(Now let me read you some statements that some people have made about the U.S. and Russia coming to a new SALT (Strategic Arms Limitation Talks/Treaty) arms agreement. For each, tell me if you agree or disagree.)...Although nuclear arms control is desirable, the SALT II treaty which President Carter negotiated does not adequately protect U.S. security",,,10/25/1979,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,09/26/1979,10/1/1979,Y,National adult,1500,Telephone Interview,,1979
774,USGALLUP.1131.Q003B,"Reduce nuclear proliferation: Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",8,What do you think would be the advantages of such a treaty (Strategic Arms Limitation Talks-SALT II)?,Adds to more than 100% due to multiple responses. * = less than .5 percent,,06/25/1979,Gallup Organization,,Gallup Poll (AIPO),06/22/1979,06/25/1979,Y,National Adult,1571,Face-to-face interview,,1979
792,USGALLUP.1139.Q03B,"Reduce nuclear proliferation:  Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",4,"What do you think would be the advantages of such a treaty (SALT II, or Strategic Arms Limitation Treaty)?",* = less than .5 percent Adds to more than 100% due to multiple responses.,,10/1/1979,Gallup Organization,,Gallup Poll (AIPO),09/28/1979,10/1/1979,Y,National Adult,1520,Face-to-face interview,,1979
